schemeBy,schemeLocation,foundedBy,departmentName,Beneficiary,schemeObjective,schemeName,description,tags
Central,National,Ministry of Health and Family Welfare,Urban Development Department,Family,To improve living conditions in urban and rural areas,State Rural Poor Rural Housing Assistance (2),This scheme aims to To improve living conditions in urban and rural areas for rural poor by implementing the rural housing assistance. It provides support and benefits to eligible beneficiaries in line with the goal of To improve living conditions in urban and rural areas.,"Rural, Housing, Poor"
State,Karnataka,State Government of Karnataka,Urban Development Department,Family,To provide affordable housing to economically weaker sections,Pradhan Mantri Urban Poor Urban Housing Program (3),This scheme aims to To provide affordable housing to economically weaker sections for urban poor by implementing the urban housing program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide affordable housing to economically weaker sections.,"Urban, Housing, Poor"
State,Tamil Nadu,State Government of Tamil Nadu,Urban Development Department,Family,To improve living conditions in urban and rural areas,State Tribal Families Housing Subsidy Scheme,This scheme aims to To improve living conditions in urban and rural areas for tribal families by implementing the housing subsidy scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To improve living conditions in urban and rural areas.,"Tribal, Housing, Assistance, Rural"
State,Gujarat,State Government of Gujarat,Housing Department,Family,To provide affordable housing to economically weaker sections,State Rural Poor Affordable Housing Scheme,This scheme aims to To provide affordable housing to economically weaker sections for rural poor by implementing the affordable housing scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide affordable housing to economically weaker sections.,"Rural, Housing, Poor"
State,Tamil Nadu,State Government of Tamil Nadu,Rural Development Department,Family,To provide affordable housing to economically weaker sections,Pradhan Mantri Slum Dwellers Urban Housing Program (3),This scheme aims to To provide affordable housing to economically weaker sections for slum dwellers by implementing the urban housing program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide affordable housing to economically weaker sections.,"Slum, Housing, Relocation, Poor"
State,Karnataka,State Government of Karnataka,Housing Department,Family,To support construction of safe and durable houses for marginalized communities,Pradhan Mantri Tribal Families Urban Housing Program,This scheme aims to To support construction of safe and durable houses for marginalized communities for tribal families by implementing the urban housing program. It provides support and benefits to eligible beneficiaries in line with the goal of To support construction of safe and durable houses for marginalized communities.,"Tribal, Housing, Assistance"
Central,National,Ministry of Health and Family Welfare,Urban Development Department,Family,To support construction of safe and durable houses for marginalized communities,Pradhan Mantri Rural Poor Housing Subsidy Scheme (2),This scheme aims to To support construction of safe and durable houses for marginalized communities for rural poor by implementing the housing subsidy scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support construction of safe and durable houses for marginalized communities.,"Rural, Housing, Poor"
Central,National,Central Government of India,Urban Development Department,Family,To provide affordable housing to economically weaker sections,Chief Minister Tribal Families Affordable Housing Scheme,This scheme aims to To provide affordable housing to economically weaker sections for tribal families by implementing the affordable housing scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide affordable housing to economically weaker sections.,"Tribal, Housing, Assistance"
Central,National,Ministry of Social Justice,Housing Department,Family,To support construction of safe and durable houses for marginalized communities,State Tribal Families Housing Subsidy Scheme (2),This scheme aims to To support construction of safe and durable houses for marginalized communities for tribal families by implementing the housing subsidy scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support construction of safe and durable houses for marginalized communities.,"Tribal, Housing, Assistance, Urban, Poor"
Central,National,Ministry of Education,Labour and Employment Department,Individual / Group,To provide vocational training and apprenticeship opportunities,National Youth Skill Development Mission,This scheme aims to To provide vocational training and apprenticeship opportunities for youth by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Youth, Training, Skill Development"
State,Tamil Nadu,State Government of Tamil Nadu,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,Youth SC/ST Startup Entrepreneurship Scheme,This scheme aims to To enhance employability of youths through skill development for sc/st by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"SC, ST, Training"
Central,National,Ministry of Health and Family Welfare,Skill Development Department,Individual / Group,To support entrepreneurship and startup culture among young people,National Women Industrial Training Initiative,This scheme aims to To support entrepreneurship and startup culture among young people for women by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Women, Training, Skill Development"
Central,National,Ministry of Health and Family Welfare,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,National Women Apprenticeship Scheme,This scheme aims to To enhance employability of youths through skill development for women by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Women, Training, Skill Development"
State,Gujarat,State Government of Gujarat,Labour and Employment Department,Individual / Group,To provide vocational training and apprenticeship opportunities,Youth Unemployed Industrial Training Initiative,This scheme aims to To provide vocational training and apprenticeship opportunities for unemployed by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Unemployed, Training, Employment, Rural"
State,Gujarat,State Government of Gujarat,Labour and Employment Department,Individual / Group,To provide vocational training and apprenticeship opportunities,Youth Women Startup Entrepreneurship Scheme,This scheme aims to To provide vocational training and apprenticeship opportunities for women by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Women, Training, Skill Development, Rural"
Central,National,Ministry of Education,Labour and Employment Department,Individual / Group,To provide vocational training and apprenticeship opportunities,State SC/ST Vocational Training Program,This scheme aims to To provide vocational training and apprenticeship opportunities for sc/st by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"SC, ST, Training"
Municipal,"Ahmedabad, Gujarat",Municipal Corporation,Labour and Employment Department,Individual / Group,To support entrepreneurship and startup culture among young people,Youth SC/ST Industrial Training Initiative,This scheme aims to To support entrepreneurship and startup culture among young people for sc/st by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"SC, ST, Training"
State,Karnataka,State Government of Karnataka,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,Youth Women Vocational Training Program,This scheme aims to To enhance employability of youths through skill development for women by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Women, Training, Skill Development"
Central,National,Ministry of Social Justice,Industry and Commerce Department,Individual / Group,To provide vocational training and apprenticeship opportunities,Youth Minority Industrial Training Initiative,This scheme aims to To provide vocational training and apprenticeship opportunities for minority by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Minority, Training, Skill Development"
Municipal,"Chandigarh, Chandigarh",Municipal Corporation,Skill Development Department,Individual / Group,To support entrepreneurship and startup culture among young people,State SC/ST Startup Entrepreneurship Scheme,This scheme aims to To support entrepreneurship and startup culture among young people for sc/st by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"SC, ST, Training"
Central,National,Ministry of Rural Development,Skill Development Department,Individual / Group,To provide vocational training and apprenticeship opportunities,National SC/ST Startup Entrepreneurship Scheme,This scheme aims to To provide vocational training and apprenticeship opportunities for sc/st by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"SC, ST, Training, Poor"
Central,National,Ministry of Agriculture,Labour and Employment Department,Individual / Group,To support entrepreneurship and startup culture among young people,National Women Vocational Training Program,This scheme aims to To support entrepreneurship and startup culture among young people for women by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Women, Training, Skill Development"
State,Tamil Nadu,State Government of Tamil Nadu,Skill Development Department,Individual / Group,To provide vocational training and apprenticeship opportunities,State Youth Skill Development Mission,This scheme aims to To provide vocational training and apprenticeship opportunities for youth by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Youth, Training, Skill Development, Rural"
Central,National,Ministry of Education,Skill Development Department,Individual / Group,To enhance employability of youths through skill development,State Unemployed Startup Entrepreneurship Scheme,This scheme aims to To enhance employability of youths through skill development for unemployed by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Unemployed, Training, Employment, Urban"
State,Bihar,State Government of Bihar,Skill Development Department,Individual / Group,To provide vocational training and apprenticeship opportunities,National Minority Industrial Training Initiative,This scheme aims to To provide vocational training and apprenticeship opportunities for minority by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Minority, Training, Skill Development, Rural"
Municipal,"Bengaluru, Karnataka",Municipal Corporation,Labour and Employment Department,Individual / Group,To support entrepreneurship and startup culture among young people,National SC/ST Vocational Training Program,This scheme aims to To support entrepreneurship and startup culture among young people for sc/st by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"SC, ST, Training"
Central,National,Ministry of Agriculture,Skill Development Department,Individual / Group,To support entrepreneurship and startup culture among young people,Youth Youth Vocational Training Program,This scheme aims to To support entrepreneurship and startup culture among young people for youth by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Youth, Training, Skill Development, Rural"
Central,National,Ministry of Social Justice,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,National Unemployed Apprenticeship Scheme,This scheme aims to To enhance employability of youths through skill development for unemployed by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Unemployed, Training, Employment"
Central,National,Ministry of Agriculture,Industry and Commerce Department,Individual / Group,To provide vocational training and apprenticeship opportunities,Youth Unemployed Skill Development Mission,This scheme aims to To provide vocational training and apprenticeship opportunities for unemployed by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Unemployed, Training, Employment"
Central,National,Ministry of Agriculture,Skill Development Department,Individual / Group,To provide vocational training and apprenticeship opportunities,State Minority Apprenticeship Scheme,This scheme aims to To provide vocational training and apprenticeship opportunities for minority by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Minority, Training, Skill Development"
State,Bihar,State Government of Bihar,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,National Minority Skill Development Mission,This scheme aims to To enhance employability of youths through skill development for minority by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Minority, Training, Skill Development, Urban"
Central,National,Ministry of Health and Family Welfare,Skill Development Department,Individual / Group,To support entrepreneurship and startup culture among young people,Youth Women Apprenticeship Scheme,This scheme aims to To support entrepreneurship and startup culture among young people for women by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Women, Training, Skill Development"
State,Bihar,State Government of Bihar,Labour and Employment Department,Individual / Group,To provide vocational training and apprenticeship opportunities,National SC/ST Vocational Training Program (2),This scheme aims to To provide vocational training and apprenticeship opportunities for sc/st by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"SC, ST, Training, Rural"
Central,National,Central Government of India,Skill Development Department,Individual / Group,To support entrepreneurship and startup culture among young people,National Minority Startup Entrepreneurship Scheme,This scheme aims to To support entrepreneurship and startup culture among young people for minority by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Minority, Training, Skill Development"
District,"Chennai, Tamil Nadu",District Council,Skill Development Department,Individual / Group,To provide vocational training and apprenticeship opportunities,National Youth Vocational Training Program,This scheme aims to To provide vocational training and apprenticeship opportunities for youth by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Youth, Training, Skill Development"
Central,National,Ministry of Education,Skill Development Department,Individual / Group,To enhance employability of youths through skill development,Youth Youth Vocational Training Program (2),This scheme aims to To enhance employability of youths through skill development for youth by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Youth, Training, Skill Development"
Central,National,Ministry of Education,Industry and Commerce Department,Individual / Group,To provide vocational training and apprenticeship opportunities,National Youth Apprenticeship Scheme,This scheme aims to To provide vocational training and apprenticeship opportunities for youth by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Youth, Training, Skill Development, Urban, Poor"
State,Karnataka,State Government of Karnataka,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,State Minority Apprenticeship Scheme (2),This scheme aims to To enhance employability of youths through skill development for minority by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Minority, Training, Skill Development, Urban"
Central,National,Ministry of Rural Development,Labour and Employment Department,Individual / Group,To provide vocational training and apprenticeship opportunities,Youth Minority Vocational Training Program,This scheme aims to To provide vocational training and apprenticeship opportunities for minority by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Minority, Training, Skill Development"
Central,National,Ministry of Agriculture,Skill Development Department,Individual / Group,To support entrepreneurship and startup culture among young people,State Women Startup Entrepreneurship Scheme,This scheme aims to To support entrepreneurship and startup culture among young people for women by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Women, Training, Skill Development, Poor"
Municipal,"Chennai, Tamil Nadu",Municipal Corporation,Skill Development Department,Individual / Group,To enhance employability of youths through skill development,National Unemployed Skill Development Mission,This scheme aims to To enhance employability of youths through skill development for unemployed by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Unemployed, Training, Employment, Rural"
Central,National,Ministry of Health and Family Welfare,Skill Development Department,Individual / Group,To enhance employability of youths through skill development,State Unemployed Skill Development Mission,This scheme aims to To enhance employability of youths through skill development for unemployed by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Unemployed, Training, Employment"
District,"Indore, Madhya Pradesh",District Council,Industry and Commerce Department,Individual / Group,To support entrepreneurship and startup culture among young people,State Unemployed Vocational Training Program,This scheme aims to To support entrepreneurship and startup culture among young people for unemployed by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Unemployed, Training, Employment"
Municipal,"Delhi, Delhi",Municipal Corporation,Labour and Employment Department,Individual / Group,To support entrepreneurship and startup culture among young people,National Unemployed Skill Development Mission (2),This scheme aims to To support entrepreneurship and startup culture among young people for unemployed by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Unemployed, Training, Employment"
Taluka,"Haveli, Maharashtra",State Government of Bihar,Industry and Commerce Department,Individual / Group,To provide vocational training and apprenticeship opportunities,State Youth Industrial Training Initiative,This scheme aims to To provide vocational training and apprenticeship opportunities for youth by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Youth, Training, Skill Development, Poor"
State,Maharashtra,State Government of Maharashtra,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,National Women Skill Development Mission,This scheme aims to To enhance employability of youths through skill development for women by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Women, Training, Skill Development, Urban"
Central,National,Ministry of Social Justice,Industry and Commerce Department,Individual / Group,To provide vocational training and apprenticeship opportunities,Youth Minority Startup Entrepreneurship Scheme,This scheme aims to To provide vocational training and apprenticeship opportunities for minority by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Minority, Training, Skill Development"
District,"Bengaluru Urban, Karnataka",District Council,Industry and Commerce Department,Individual / Group,To provide vocational training and apprenticeship opportunities,State Unemployed Industrial Training Initiative,This scheme aims to To provide vocational training and apprenticeship opportunities for unemployed by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Unemployed, Training, Employment"
State,Gujarat,State Government of Gujarat,Labour and Employment Department,Individual / Group,To support entrepreneurship and startup culture among young people,National Youth Industrial Training Initiative,This scheme aims to To support entrepreneurship and startup culture among young people for youth by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Youth, Training, Skill Development"
Central,National,Ministry of Health and Family Welfare,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,National Minority Vocational Training Program,This scheme aims to To enhance employability of youths through skill development for minority by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Minority, Training, Skill Development, Rural"
Central,National,Ministry of Rural Development,Labour and Employment Department,Individual / Group,To enhance employability of youths through skill development,Youth Minority Skill Development Mission,This scheme aims to To enhance employability of youths through skill development for minority by implementing the skill development mission. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Minority, Training, Skill Development"
State,Bihar,State Government of Bihar,Skill Development Department,Individual / Group,To support entrepreneurship and startup culture among young people,State Unemployed Vocational Training Program (2),This scheme aims to To support entrepreneurship and startup culture among young people for unemployed by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Unemployed, Training, Employment, Urban"
Central,National,Ministry of Health and Family Welfare,Industry and Commerce Department,Individual / Group,To enhance employability of youths through skill development,National Unemployed Apprenticeship Scheme (2),This scheme aims to To enhance employability of youths through skill development for unemployed by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Unemployed, Training, Employment"
Central,National,Ministry of Social Justice,Labour and Employment Department,Individual / Group,To support entrepreneurship and startup culture among young people,National Minority Apprenticeship Scheme,This scheme aims to To support entrepreneurship and startup culture among young people for minority by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Minority, Training, Skill Development"
Central,National,Ministry of Rural Development,Industry and Commerce Department,Individual / Group,To support entrepreneurship and startup culture among young people,State SC/ST Industrial Training Initiative,This scheme aims to To support entrepreneurship and startup culture among young people for sc/st by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"SC, ST, Training, Rural"
State,Bihar,State Government of Bihar,Industry and Commerce Department,Individual / Group,To support entrepreneurship and startup culture among young people,National SC/ST Industrial Training Initiative,This scheme aims to To support entrepreneurship and startup culture among young people for sc/st by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"SC, ST, Training"
State,Tamil Nadu,State Government of Tamil Nadu,Skill Development Department,Individual / Group,To enhance employability of youths through skill development,National SC/ST Industrial Training Initiative (2),This scheme aims to To enhance employability of youths through skill development for sc/st by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"SC, ST, Training"
State,Gujarat,State Government of Gujarat,Labour and Employment Department,Individual / Group,To enhance employability of youths through skill development,State Minority Vocational Training Program,This scheme aims to To enhance employability of youths through skill development for minority by implementing the vocational training program. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Minority, Training, Skill Development"
State,Karnataka,State Government of Karnataka,Labour and Employment Department,Individual / Group,To support entrepreneurship and startup culture among young people,Youth Minority Startup Entrepreneurship Scheme (2),This scheme aims to To support entrepreneurship and startup culture among young people for minority by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Minority, Training, Skill Development"
Central,National,Ministry of Education,Skill Development Department,Individual / Group,To support entrepreneurship and startup culture among young people,National Minority Industrial Training Initiative (2),This scheme aims to To support entrepreneurship and startup culture among young people for minority by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"Minority, Training, Skill Development, Urban"
District,"Nagpur, Maharashtra",District Council,Skill Development Department,Individual / Group,To provide vocational training and apprenticeship opportunities,State Women Industrial Training Initiative,This scheme aims to To provide vocational training and apprenticeship opportunities for women by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Women, Training, Skill Development, Poor"
Central,National,Central Government of India,Skill Development Department,Individual / Group,To enhance employability of youths through skill development,State Minority Startup Entrepreneurship Scheme,This scheme aims to To enhance employability of youths through skill development for minority by implementing the startup entrepreneurship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To enhance employability of youths through skill development.,"Minority, Training, Skill Development, Urban"
Taluka,"Baramati, Maharashtra",State Government of Tamil Nadu,Industry and Commerce Department,Individual / Group,To provide vocational training and apprenticeship opportunities,National Women Industrial Training Initiative (2),This scheme aims to To provide vocational training and apprenticeship opportunities for women by implementing the industrial training initiative. It provides support and benefits to eligible beneficiaries in line with the goal of To provide vocational training and apprenticeship opportunities.,"Women, Training, Skill Development"
Central,National,Ministry of Education,Industry and Commerce Department,Individual / Group,To support entrepreneurship and startup culture among young people,Youth SC/ST Apprenticeship Scheme,This scheme aims to To support entrepreneurship and startup culture among young people for sc/st by implementing the apprenticeship scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support entrepreneurship and startup culture among young people.,"SC, ST, Training"
State,Karnataka,State Government of Karnataka,Department of Social Welfare,Individual,To support rehabilitation and care for vulnerable populations,Disability Senior Citizen Pension Scheme,This scheme aims to To support rehabilitation and care for vulnerable populations for senior citizen by implementing the pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support rehabilitation and care for vulnerable populations.,"Senior Citizen, Pension, Assistance"
Central,National,Ministry of Social Justice,Department of Social Welfare,Individual,To ensure social security for disadvantaged groups,Widow Orphan Rehabilitation Grant,This scheme aims to To ensure social security for disadvantaged groups for orphan by implementing the rehabilitation grant. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure social security for disadvantaged groups.,"Orphan, Assistance, Rehabilitation"
State,Maharashtra,State Government of Maharashtra,Social Justice Department,Individual,To support rehabilitation and care for vulnerable populations,Old Age Senior Citizen Pension Scheme,This scheme aims to To support rehabilitation and care for vulnerable populations for senior citizen by implementing the pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support rehabilitation and care for vulnerable populations.,"Senior Citizen, Pension, Assistance"
State,Maharashtra,State Government of Maharashtra,Social Justice Department,Individual,To provide financial assistance and pension to needy individuals,Widow Disabled Rehabilitation Grant,This scheme aims to To provide financial assistance and pension to needy individuals for disabled by implementing the rehabilitation grant. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and pension to needy individuals.,"Disabled, Pension, Assistance"
Central,National,Ministry of Health and Family Welfare,Social Justice Department,Individual,To ensure social security for disadvantaged groups,Old Age Disabled Pension Scheme,This scheme aims to To ensure social security for disadvantaged groups for disabled by implementing the pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure social security for disadvantaged groups.,"Disabled, Pension, Assistance, Urban"
State,Karnataka,State Government of Karnataka,Social Justice Department,Individual,To ensure social security for disadvantaged groups,Disability Widow Financial Assistance Scheme,This scheme aims to To ensure social security for disadvantaged groups for widow by implementing the financial assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure social security for disadvantaged groups.,"Widow, Pension, Assistance"
State,Maharashtra,State Government of Maharashtra,Social Justice Department,Individual,To support rehabilitation and care for vulnerable populations,Disability Widow Social Assistance Program,This scheme aims to To support rehabilitation and care for vulnerable populations for widow by implementing the social assistance program. It provides support and benefits to eligible beneficiaries in line with the goal of To support rehabilitation and care for vulnerable populations.,"Widow, Pension, Assistance"
Municipal,"Delhi, Delhi",Municipal Corporation,Department of Social Welfare,Individual,To support rehabilitation and care for vulnerable populations,Disability Widow Financial Assistance Scheme (2),This scheme aims to To support rehabilitation and care for vulnerable populations for widow by implementing the financial assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support rehabilitation and care for vulnerable populations.,"Widow, Pension, Assistance, Poor"
Central,National,Ministry of Social Justice,Department of Social Welfare,Individual,To support rehabilitation and care for vulnerable populations,Old Age Senior Citizen Social Assistance Program,This scheme aims to To support rehabilitation and care for vulnerable populations for senior citizen by implementing the social assistance program. It provides support and benefits to eligible beneficiaries in line with the goal of To support rehabilitation and care for vulnerable populations.,"Senior Citizen, Pension, Assistance"
Central,National,Ministry of Education,Social Justice Department,Individual,To ensure social security for disadvantaged groups,Widow Senior Citizen Financial Assistance Scheme,This scheme aims to To ensure social security for disadvantaged groups for senior citizen by implementing the financial assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure social security for disadvantaged groups.,"Senior Citizen, Pension, Assistance"
State,Uttar Pradesh,State Government of Uttar Pradesh,Social Justice Department,Individual,To ensure social security for disadvantaged groups,Old Age Orphan Financial Assistance Scheme,This scheme aims to To ensure social security for disadvantaged groups for orphan by implementing the financial assistance scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure social security for disadvantaged groups.,"Orphan, Assistance, Rehabilitation"
State,Tamil Nadu,State Government of Tamil Nadu,Social Justice Department,Individual,To provide financial assistance and pension to needy individuals,Disability Widow Caregiver Support Scheme,This scheme aims to To provide financial assistance and pension to needy individuals for widow by implementing the caregiver support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and pension to needy individuals.,"Widow, Pension, Assistance"
State,Tamil Nadu,State Government of Tamil Nadu,Social Justice Department,Individual,To ensure social security for disadvantaged groups,Disability Disabled Caregiver Support Scheme,This scheme aims to To ensure social security for disadvantaged groups for disabled by implementing the caregiver support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure social security for disadvantaged groups.,"Disabled, Pension, Assistance"
Central,National,Ministry of Agriculture,Social Justice Department,Individual,To support rehabilitation and care for vulnerable populations,Widow Senior Citizen Caregiver Support Scheme,This scheme aims to To support rehabilitation and care for vulnerable populations for senior citizen by implementing the caregiver support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support rehabilitation and care for vulnerable populations.,"Senior Citizen, Pension, Assistance, Rural"
Municipal,"Nagpur, Maharashtra",Municipal Corporation,Social Justice Department,Individual,To provide financial assistance and pension to needy individuals,Old Age Widow Caregiver Support Scheme,This scheme aims to To provide financial assistance and pension to needy individuals for widow by implementing the caregiver support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To provide financial assistance and pension to needy individuals.,"Widow, Pension, Assistance"
Municipal,"Mumbai, Maharashtra",Municipal Corporation,Social Justice Department,Individual,To ensure social security for disadvantaged groups,Widow Disabled Pension Scheme,This scheme aims to To ensure social security for disadvantaged groups for disabled by implementing the pension scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To ensure social security for disadvantaged groups.,"Disabled, Pension, Assistance"
State,Tamil Nadu,State Government of Tamil Nadu,Department of Social Welfare,Individual,To support rehabilitation and care for vulnerable populations,Disability Transgender Caregiver Support Scheme,This scheme aims to To support rehabilitation and care for vulnerable populations for transgender by implementing the caregiver support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support rehabilitation and care for vulnerable populations.,"Transgender, Social Security, Assistance, Rural"
State,Maharashtra,State Government of Maharashtra,Social Justice Department,Individual,To support rehabilitation and care for vulnerable populations,Widow Widow Caregiver Support Scheme,This scheme aims to To support rehabilitation and care for vulnerable populations for widow by implementing the caregiver support scheme. It provides support and benefits to eligible beneficiaries in line with the goal of To support rehabilitation and care for vulnerable populations.,"Widow, Pension, Assistance"
